Number,Word,Part of Speech,Definition,Alternative
50,pat,verb,"to stroke or tap gently with the hand.",""
51,pole,noun,"an upright column to the top of which something is attached or by which something is supported.",""
52,snake,noun,"a scaly limbless reptile that lays eggs and has a very elongated body,""
53,mound,noun,""a small,""
54,smaller,adjective,""of less size,""
55,grand,adjective,""of large size,""
56,gross,adjective,"disgusting or distasteful.",""
57,wish,verb,""to have a desire for : to want,""
58,stove,noun,"a device that burns fuel or uses electricity to produce heat for cooking.",""
59,join,verb,"become a member or associate of.",""
60,state,verb,"to put into words : to phrase.",""
61,enter,verb,"to come or go into.",""
62,blank,adjective,"free from writing or marks.",""
63,give,verb,"to make a present of.",""
64,other,adjective,"not the same : different.",""
65,bedroom,noun,"a walled space in a building intended primarily for sleeping.",""
66,branch,noun,"a stem growing from the trunk or from a limb of a tree.",""
67,letter,noun,"a written or printed message intended to be read only by the person or organization to whom it is addressed.",""
68,spring,noun,"the season between winter and summer.",""
69,dance,verb,""to perform a series of steps and movements,""
70,front,noun,"the part of something that seems to look out or be directed forward.",""
71,roast,verb,"to cook by exposure to radiant heat before a fire or in an oven.",""
72,brave,adjective,"able to meet danger or endure pain or hardship without giving in to fear.",""
73,bright,adjective,"marked by shining or radiating light.",""
74,scream,verb,"to voice a sudden sharp loud cry.",""
75,river,noun,"a large natural stream of water.",""
76,bride,noun,"a woman newly married or about to be married.",""
77,stall,noun,"a division of a stable or barn accommodating one animal.",""
78,point,verb,"to indicate the position or direction of something especially by extending a finger toward the thing so indicated.",""
79,wedding,noun,"the marriage ceremony usually with its accompanying festivities.",""
80,little,adjective,"small in size: tiny.",""
81,doctor,noun,""a person who practices medicine,""
82,peel,verb,"to strip off the outer layer of.",""
83,snack,noun,"a small amount of food usually eaten between meals.",""
84,notebook,noun,"a collection of blank sheets fastened together along one edge and used by students during a class or lecture.",""
85,brain,noun,"the portion of the central nervous system in vertebrates that makes up the organ of thought.",""
86,pride,noun,"a sense of delight or joy arising from some act or possession.",""
87,dear,noun,"a beloved person.",""
88,live,adjective,"not dead.",""
89,tubes,plural noun,"collapsible cylindrical metal containers from which paste is dispensed by squeezing.",""
90,cloth,noun,"something made by weaving or knitting natural or synthetic fibers.",""
91,gazed,verb,"fixed the eyes in a steady and intent look.",""
92,mile,noun,""a unit of distance equal to 5,""
93,float,verb,"to rest on or partly under the surface of a liquid.",""
94,snail,noun,""a slow-moving animal with a soft body,""
95,second,adjective,"next to the first in place or time.",""
96,drew,verb,"produced by or as if by tracing a pen or other instrument over a surface.",""
97,stood,verb,"rose to an upright position.",""
98,nagged,verb,""annoyed by persistent petty faultfinding,""
99,scan,verb,"to make a close examination of a small area.",""
100,glue,noun,"any of various substances that bond materials together.",""
101,ground,noun,"the surface of the earth.",""
102,shower,noun,"a fall of rain that is of short duration or rapidly varying intensity over a limited area.",""
103,endless,adjective,"boundless : infinite.",""
104,plunger,noun,"a device that works by being thrust quickly and forcibly into a liquid or other medium.",""
105,fireworks,plural noun,"a display or exhibition of devices for producing a striking display (as of light) by the burning of explosive materials.",""
106,dazzle,verb,""to impress deeply,""
107,climb,verb,"to get to the top of or go over typically with some effort.",""
108,April,noun,"the fourth month of the year.",""
109,subway,noun,"a train built partly or entirely underground for local transit in metropolitan areas.",""
110,broken,adjective,"not working properly.",""
111,stew,noun,"a combination of fish or meat usually with vegetables prepared by cooking in a little liquid without boiling.",""
112,shall,verb,"used to express what is inevitable or what seems likely to happen in the future.",""
113,flowers,plural noun,"plants grown or valued for their blossoms.",""
114,angry,adjective,"feeling and showing a high degree of strong displeasure and usually of antagonism.",""
115,create,verb,"to bring about by a course of action or behavior.",""
116,drooped,verb,"took up a slouched or bent posture (as from exhaustion).",""
117,cluttered,verb,"filled or covered with things in disorder or scattered at random.",""
118,bursting,verb,"being full to the point of breaking open or overflowing.",""
119,edge,noun,"the cutting side of the blade of an instrument.",""
120,glasses,plural noun,"a device used to correct defects of vision and consisting typically of two pieces of hard transparent material that are supported by a bridge resting on the nose and by sidepieces.",""
121,gently,adverb,""quietly,""
122,crown,noun,""a headband or headpiece,""
123,shutters,plural noun,"covers or screens for windows or doors that are designed to keep light out or shut out the view.",""
124,corner,noun,"the place where two streets or roads meet.",""
125,barely,adverb,"by the narrowest margin.",""
126,able,adjective,"having needed powers (as intelligence or strength) or resources to do something.",""
127,present,noun,"a gift.",""
128,clearly,adverb,"without doubt or question.",""
129,really,adverb,"in actual fact : actually.",""
130,overcome,verb,"to get the better of : to surmount or conquer.",""
131,sketch,verb,"to draw or paint a rough drawing representing an object or scene.",""
132,evening,noun,"the latter part and close of the day and early part of night.",""
133,again,adverb,"one more time.",""
134,finally,adverb,"after a certain space of time : at last : eventually.",""
135,thumbs,plural noun,"the short and thick first digits of human hands that are opposable to the other fingers.",""
136,glittery,adjective,""sparkling,""
137,together,adverb,"in or into one place or group or mass.",""
138,while,noun,"a period of time.",""
139,mother,noun,"a female parent.",""
140,worth,preposition,"having the value of : equal in value to.",""
141,solve,verb,""to find an answer,""
142,credit,noun,""recognition,""
143,steel,noun,"commercial iron that contains carbon in any amount up to about 1.7 percent.",""
144,pour,verb,"to dispense from a container.",""
145,anybody,pronoun,"a person out of an indefinite number.",""
146,whisper,verb,""to speak softly,""
147,Thursday,noun,"the day following Wednesday.",""
148,music,noun,""vocal or instrumental sounds having rhythm,""
149,wears,verb,"uses for clothing or adornment.",""
150,thoughts,plural noun,""whatever things are in one's mind : ideas,""
151,bronze,noun,""a substance made of copper and tin that is used to make industrial items,""
152,flea,noun,"a wingless bloodsucking insect that has long legs adapted to leaping.",""
153,buckeye,noun,"the large nutlike seed of any North American shrub or tree of a genus that has hand-shaped leaves and showy flowers — called also "horse chestnut."",""
154,sudsy,adjective,""full of the froth or bubbles formed on soapy water : frothy,""
155,antlers,plural noun,""horns of animals of the deer family,""
156,dapper,adjective,"neat and trim in appearance.",""
157,stroll,noun,"an idle and leisurely walk.",""
158,cress,noun,"any of numerous plants of a family of herbs whose moderately pungent leaves are used in salads and garnishes.",""
159,bestie,noun,"a person's greatest friend.",""
160,cereal,noun,""a prepared food of grain,""
161,silence,noun,"absence of sound or noise.",""
162,fury,noun,"violent anger : rage.",""
163,howdy,interjection,"used to express greeting.",""
164,important,adjective,"marked by or possessing weight or consequence : significant.",""
165,popovers,plural noun,""quick breads made from a thin batter of eggs,""
166,thousand,adjective,"being ten hundred in number.",""
167,razor,noun,"a sharp fine-edged cutting instrument for shaving hair.",""
168,roughly,adverb,"with harshness or violence : severely.",""
169,drawl,noun,"a manner of speaking in slow tones with lengthened vowels.",""
170,oddity,noun,"something unique or curiously unusual.",""
171,insult,noun,"an act or speech of disrespect or scorn.",""
172,valley,noun,"a low-lying area of land that is usually located between hills or mountains.",""
173,gather,verb,"to bring together into a crowd or group.",""
174,dessert,noun,""a course of fruit,""
175,stagecoach,noun,"a type of horse-drawn carriage that was used to make regular trips between stations while carrying people and goods.",""
176,peaceful,adjective,"marked by or enjoying quiet or calm.",""
177,ailment,noun,""a bodily sickness,""
178,combat,noun,""a fight,""
179,rotten,adjective,"decayed : putrid.",""
180,expressway,noun,"a high-speed divided highway for through traffic with controlled access.",""
181,practice,verb,"to perform an act often in order to acquire proficiency or skill.","practise"
182,squash,noun,"any fruits of plants of a specific genus that are widely cultivated as vegetables.",""
183,amused,verb,"entertained in a pleasant manner.",""
184,pouch,noun,"a sack or satchel of moderate size for storing or transporting goods.",""
185,outfits,plural noun,"clothing designed to be worn on special occasions or in particular situations.",""
186,sewing,verb,""uniting,""
187,transform,verb,"to change completely or essentially in composition or structure.",""
188,marble,noun,""crystallized limestone that is capable of taking a high polish,""
189,gallon,noun,"a unit of liquid volume equal to 231 cubic inches.",""
190,flitting,verb,""moving briskly,""
191,plaza,noun,"a public square in a city or town.",""
192,yesterday,adverb,"on the day last past : on the day before today.",""
193,nighttime,noun,"the time from dusk to dawn.",""
194,putty,noun,"a cement with the consistency of dough used in fastening glass in sashes and stopping crevices in woodwork.",""
195,glumly,adverb,""in a dismal,""
196,ignore,verb,"to refuse to take notice of.",""
197,improve,verb,"to make more excellent or desirable.",""
198,Internet,noun,"an electronic communications network that connects computer networks and organizational computer facilities around the world.",""
199,pantry,noun,"a room or closet next to a kitchen used for storing food or glasses and dishes.",""
200,hungrily,adverb,"in a manner marked by strong desire or craving : longingly.",""
201,confident,adjective,""characterized by a strong,""
202,vision,noun,"something seen otherwise than by the ordinary sight.",""
203,diamond,noun,"the area of a baseball or softball field enclosed in a square with a base at each corner — called also "infield."",""
204,stitchery,noun,""work (as embroidery,""
205,fiddlehead,noun,"one of the young unfurling fronds of certain ferns that are often eaten as greens.",""
206,hobbit,noun,""a member of a fictitious peaceful and genial race of small,""
207,doughnut,noun,"a small cake usually shaped like a ring and fried in deep fat.","donut"
208,precious,adjective,"of great value or high price.",""
209,wafting,verb,"causing to move or go lightly by or as if by the impulse of wind or waves.",""
210,occupy,verb,"to reside in as an owner or tenant.",""
211,Afrobeat,noun,"urban popular music originating in Nigeria in the late 1960s that emphasizes percussion rhythms and features elements of jazz and funk.",""
212,termite,noun,"pale-colored soft-bodied social insects that live in colonies and feed on wood.",""
213,insulation,noun,""material that slows the passage of heat,""
214,intertwine,verb,"to become mutually entangled or involved : to be twisted about one another.",""
215,recital,noun,"an exhibition concert given by music pupils.",""
216,furniture,noun,"articles of convenience or decoration (as tables and chairs) for use in living quarters,""
217,ambush,noun,"the act of attacking by surprise from a concealed position.",""
218,squire,noun,"a shield bearer or armor-bearer of a knight.",""
219,submerged,verb,"plunged into water or other fluid.",""
220,saucer,noun,"a small shallow dish for holding a cup.",""
221,gloaming,noun,"twilight : dusk.",""
222,engulf,verb,"to flow over and enclose : to overwhelm.",""
223,graduate,noun,""one that has received an academic degree,""
224,fascinated,verb,"commanded the attention or interest of strongly or irresistibly.",""
225,composition,noun,"a written exercise done for a course in writing in school and usually intended to show study and care in arrangement.",""
226,wisdom,noun,"information gained over time.",""
227,ourselves,plural pronoun,"those identical ones that are we.",""
228,invisible,adjective,"incapable of being seen through lack of physical substance.",""
229,completely,adverb,"fully : entirely.",""
230,poisonous,adjective,"having the qualities or effects of a substance that in the right amounts can harm or kill a living thing.",""
231,intimidate,verb,"to make fearful.",""
232,drawers,plural noun,"sliding boxes that are opened by pulling out and closed by pushing in.",""
233,disdain,noun,"a feeling of contempt for something regarded as unworthy of or beneath one : scorn.",""
234,deliberately,adverb,""in a slow,""
235,spacious,adjective,"affording much room : not narrow or constricted : roomy.",""
236,forearms,plural noun,"the parts of the upper limbs between the elbow and the wrist in primates.",""
237,gratitude,noun,"thankfulness.",""
238,appreciation,noun,"expression of gratification and approval or gratitude.",""
239,devotion,noun,""strong attachment : zeal,""
240,inscription,noun,"text that is written or otherwise marked upon an object so as to create a lasting or public record.",""
241,inventory,noun,"an itemized list of current assets.",""
242,wheezy,adjective,"inclined to breathe with difficulty with a usually audible whistling sound.",""
243,possible,adjective,""falling within the bounds of what may be done or be conceived within the framework of nature,""
244,replace,verb,"to provide a substitute for.",""
245,crookedly,adverb,"in a bent or twisted manner.",""
246,fragrant,adjective,"having a sweet smell or pleasing odor.",""
247,fowl,noun,"a chicken; especially : an adult hen.",""
248,responsible,adjective,""answerable as the primary cause,""
249,awfully,adverb,""extremely,""
250,manual,adjective,"designed for use or operation with the hands : worked by hand.",""
251,thorax,noun,""the portion of an insect body that is the middle of the three chief divisions."",""
252,tostones,plural noun,""thick slices of green plantain that are fried,""
253,bunions,plural noun,"inflamed swellings of the small fluid-filled sacs on the first joints of the big toes.",""
254,bamboozled,verb,"concealed one's true motives from (someone) by elaborately feigning good intentions so as to gain an end : hoodwinked.",""
255,Oman,geographical entry,"country in Asia in southeastern Arabia bordering on the Arabian Sea; a sultanate; capital Muscat.",""
256,flummox,verb,"to throw into perplexity; embarrass greatly : confound.","flummix"
257,inscrutable,adjective,"not readily comprehensible : mysterious.",""
258,serenity,noun,"the quality or state of being calm or peaceful.",""
259,congregation,noun,"an assembly of persons meeting for worship and religious instruction.",""
260,sentinel,noun,"one that watches or guards.",""
261,Arctic,adjective,"relating to the region around the north pole to approximately 65 degrees north.",""
262,fluke,noun,"an extraordinary stroke of good or bad luck.",""
263,captain,noun,"an officer in charge of any ship and responsible for its navigation and for direction of its operations.",""
264,delegation,noun,"one or more persons appointed or chosen to represent others (as in congress).",""
265,verve,noun,""energy,""
266,Vaseline,trademark,"a yellowish semisolid mass used primarily as a base for ointments and as a protective dressing (as for burns).",""
267,gastritis,noun,"inflammation of the stomach especially of its mucous membrane.",""
268,platypus,noun,"a small egg-laying aquatic mammal of southern and eastern Australia and Tasmania.",""
269,salute,verb,""to give a sign of respect,""
270,mantel,noun,"the shelf above a fireplace.","mantle"
271,amphitheater,noun,"a circular or semicircular building with rising tiers of seats about a central open space.",""
272,desecration,noun,"the act or an instance of treating (an object of veneration or admiration) irreverently often in a way to provoke outrage on the part of others.",""
273,diode,noun,""an electron tube having two electrodes,""
274,mischievous,adjective,""tending to cause annoyance,""
275,bionic,adjective,"having natural capability or performance enhanced by or as if by computerized or electromechanical devices.",""
276,syllables,plural noun,"units of spoken language that consist of vowel or consonant sounds alone or accompanied by other consonant sounds.",""
277,sultanate,noun,"a state or country governed by a king or ruling sovereign especially of a Muslim state.",""
278,turban,noun,"a headdress consisting of a long cloth that is wrapped around a cap or directly around the head.",""
279,sausage,noun,"highly seasoned ground meat that is stuffed in casings which are tied shut at both ends.",""
280,disgruntled,verb,"put in bad humor : gave rise to peevish dissatisfaction in.",""
281,terrify,verb,"to fill with stark fear : to frighten greatly.",""
282,quip,verb,"to make witty or funny observations or responses on the spur of the moment.",""
283,information,noun,"knowledge of a particular event or situation.",""
284,incubator,noun,""an apparatus for housing premature or sick babies in an environment of controlled humidity,""
285,droll,adjective,""having a whimsical,""
286,vultures,plural noun,""large birds that are related to hawks,""
287,Arabic,noun,"a Semitic language of parts of the Middle East and northern Africa that has numerous dialects but in the written form usually conforms to the classical standards of the Qur'an.",""
288,Brooklyn,geographical entry,"a former city (1834–98) on Long Island that is now a borough of New York City.",""
289,sacred,adjective,""religious in nature,""
290,reindeer,noun,"any of several deers that inhabit the northern parts of Europe,""
291,disclaimer,noun,""a denial or disavowal of legal demand for compensation,""
292,quotation,noun,"a passage referred to,""
293,superior,adjective,"notably excellent of its kind : surpassingly good.",""
294,privilege,noun,""a right granted as a peculiar benefit,""
295,fallow,adjective,"left untilled or unsown after plowing : uncultivated.",""
296,replica,noun,"a copy of an original work of art.",""
297,provision,noun,"a stipulation (as a clause in a statute or contract) made in advance.",""
298,reference,noun,"a book or a passage in a work to which a reader is directed.",""
299,havens,plural noun,"places offering favorable opportunities or conditions.",""
300,voracious,adjective,""excessively eager : avid,""
301,tripe,noun,"a wall of the stomach of an animal that chews cud and especially of the ox used as an article of food.",""
302,slakes,verb,"brings (as thirst) to an end with or as if with refreshing drink : satisfies.",""
303,Illinois,geographical entry,"state in the central part of the U.S. having the Mississippi River as its western boundary; capital Springfield.",""
304,commandments,plural noun,"acts of directing authoritatively or what is directed in such a manner.",""
305,contagion,noun,"the process by which disease is transmitted from one person to another by direct or indirect means.",""
306,decibels,plural noun,"degrees of loudness.",""
307,repose,noun,"a state of resting after exertion or strain.",""
308,nondescript,adjective,"lacking distinguishing characteristics or a distinctive character.",""
309,expulsion,noun,"summary removal from membership or association.",""
310,Laundromat,noun,"a self-service laundry.",""
311,pervading,verb,"spreading throughout : permeating.",""
312,malnutrition,noun,"faulty nourishment due to a lack of or imbalance in substances that promote growth and provide energy.",""
313,tunic,noun,"a simple slip-on garment worn by men and women of ancient Greece and Rome.",""
314,extravagant,adjective,"wildly exaggerated often to the point of absurdity : pushed beyond credibility.",""
315,innards,plural noun,"the internal parts of a structure or mechanism.",""
316,acclimate,verb,""to adapt to a new temperature,""
317,recede,verb,"to move back or away : to withdraw.",""
318,indignant,adjective,"marked by deep-felt resentment or anger.",""
319,wok,noun,"a large bowl-shaped cooking utensil used especially in stir-frying.",""
320,categorically,adverb,"without qualification or reservation : absolutely.",""
321,demure,adjective,"marked by quiet modesty or restraint : shy.",""
322,chasm,noun,""a deep opening : a narrow,""
323,hitherto,adverb,"up to this time : until now.",""
324,horticulture,noun,""the science and art of growing fruits,""
325,magistrates,plural noun,"local officials exercising administrative and often judicial functions.",""
326,sprocket,noun,"a tooth or a part that juts out (as on the edge of a wheel) shaped so as to engage with a chain.",""
327,punctually,adverb,"in a manner marked by exact adherence to an appointed time.",""
328,dynasty,noun,"a family that establishes and maintains its position of power for generations.",""
329,koi,noun,"a soft-finned freshwater fish that inhabits ponds and is indigenous to Asia but is extensively reared elsewhere in artificial ponds — called also carp.",""
330,incense,noun,"the perfume or the smoke emitted from spices and gums when burned.",""
331,incited,verb,"moved to a course of action : stirred up.",""
332,deficiencies,plural noun,"shortages of substances (such as vitamins) necessary to health.",""
333,incarnated,verb,"gave bodily form and substance to.",""
334,pews,plural noun,"benches with backs fixed in rows in a church.",""
335,malicious,adjective,"marked by evil intention.",""
336,interstellar,adjective,"located among the stars or passing from one star to another.",""
337,petticoat,noun,""a skirt that is usually a little shorter than outer clothing,""
338,insufferable,adjective,"intolerable especially by reason of assumed superiority.",""
339,spawned,verb,""brought forth : generated,""
340,gorilla,noun,"a large anthropoid ape of the forest region of equatorial West Africa.",""
341,quarry,noun,""an open excavation usually for obtaining building stone,""
342,kung fu,noun,""any of various Chinese martial arts that are practiced especially for self-defense,""
343,steeds,plural noun,"horses; especially : spirited horses for state or war.",""
344,destitution,noun,"deprivation of the necessaries of life : extreme poverty.",""
345,patronize,verb,"to adopt an air of superiority and condescension toward someone.","patronise"
346,dilute,verb,"to make less concentrated : to diminish the strength or flavor of something.",""
347,societal,adjective,""of or relating to a community with common traditions,""
348,uncanny,adjective,"arousing feelings of dread or of inexplicable strangeness.",""
349,communing,verb,""gaining an earnest or deep feeling of unity,""
350,deadpan,verb,"to act in a manner marked by complete absence of expression or mobility.",""
351,arable,adjective,"capable of being plowed : fit for crop production.",""
352,surfactant,noun,"a substance useful for its cleansing,""
353,nitrogen,noun,"a common nonmetallic element that constitutes 78 percent of the atmosphere by volume and occurs as a constituent of all living cells.",""
354,paralysis,noun,"a state of powerlessness or inactivity.",""
355,metronome,noun,"an instrument that emits an audible repetitive tap regulated to mark rhythm.",""
356,attorney,noun,"one whose profession is to conduct lawsuits for clients or to advise as to the prosecution or defense of lawsuits : a lawyer.",""
357,snivel,verb,"to speak or act in a whining or weakly emotional manner.",""
358,contemptible,adjective,"meriting scorn and condemnation as paltry,""
359,altimeter,noun,"an instrument for measuring height (as above sea level or ground level).",""
360,jugular,adjective,"of or relating to the throat or neck.",""
361,insolent,adjective,"haughty and contemptuous or brutal in behavior or language.",""
362,aura,noun,"a distinctive appearance or impression.",""
363,propitious,adjective,"encouraging : favorable.",""
364,ellipsis,noun,"omission of one or more words that are obviously understood but must be supplied to make a construction grammatically complete.",""
365,thyroid,noun,"a large endocrine gland in the base of the neck that influences growth and development.",""
366,elongated,verb,"increased the length of : stretched out.",""
367,lasso,noun,"a rope with a running noose that is used especially for catching horses and cattle.","lassoo"
368,incandescent,adjective,"strikingly bright,""
369,bureaucrats,plural noun,"government officials confirmed in a narrow rigid formal routine or established with great authority in one department.",""
370,refuge,noun,"shelter or protection from danger or distress.",""
371,shoal,noun,"a sandbar that causes the water to be less deep.",""
372,perpendicularity,noun,"the quality or state of being or set at right angles to a given line or plane.",""
373,antechamber,noun,"a room leading into a chief apartment and serving as a waiting room.",""
374,jeopardy,noun,"exposure to or imminence of death,""
375,sauna,noun,"a Finnish bath in steam from water thrown on heated stones.",""
376,conciliatory,adjective,"tending to win over from a state of hostility or distrust.",""
377,forsook,verb,"departed or withdrew from : deserted,""
378,boba,noun,"a sweet drink of Taiwanese origin that consists of tea mixed typically with milk or fruit syrup and small balls of tapioca.",""
379,animatronics,plural noun,"puppets or similar figures that are made lifelike by means of electromechanical devices.",""
380,frijoles,plural noun,"any of certain dark red kidney-shaped beans.",""
381,minimus,noun,"the little finger or toe.",""
382,senescent,adjective,"growing old.",""
383,secreted,verb,"produced and emitted from a gland a product that performs a specific function in an organism.",""
384,aspirin,noun,"a white crystalline compound of salicylic acid used in tablet form to decrease fever and as a pain-killer.",""
385,aptitude,noun,"a natural or acquired capacity or ability.",""
386,Chicana,noun,"an American woman or girl of Mexican descent.",""
387,bilge,noun,"water that collects by seepage or leakage in the bottom of a ship.",""
388,simultaneously,adverb,"at the same time.",""
389,Copenhagen,geographical entry,"the capital city and a port of Denmark.",""
390,Bunsen burner,noun,"a device used especially in the laboratory that has a straight barrel with holes near the bottom to let in air that mixes with the gas to produce a hot flame.",""
391,defoliant,noun,"a chemical spray or dust applied to crop plants to cause the leaves to drop off prematurely.",""
392,aerosol,noun,"a substance and a propellant (as compressed gas) in a container with a valve through which the substance is dispensed as a suspension of fine solid or liquid particles.",""
393,Ramadan,noun,"the 9th month of the Islamic year observed as a sacred month on each day of which strict fasting is practiced from dawn to sunset.","Ramadhan"
394,photosynthesis,noun,"the formation of carbohydrates from carbon dioxide and a source of hydrogen in chlorophyll-containing cells,""
395,malignant,adjective,"tending to produce death or deterioration — used in medicine.",""
396,matterhorn,noun,"a high steep-sided sharp-pointed peak or mountain.",""
397,divot,noun,"a piece of turf dug from a golf fairway in making a stroke.",""
398,pixels,plural noun,"the numerous small discrete elements that together constitute an image (as on a television screen).",""
399,antonyms,plural noun,"words of opposite meaning.",""
400,Trinidadian,adjective,""of,""
401,mangels,plural noun,"large coarse yellow to reddish orange beets grown as food for cattle.",""
402,nopales,plural noun,"young tender stem segments of the prickly pear cactus that are used as food.",""
403,Gilgamesh,noun,"a legendary Sumerian king and hero of a particular long narrative poem.",""
404,conjunto,noun,"a kind of Mexican-American music that has been influenced by the music of German immigrants to Texas and that features the accordion in addition to Mexican elements.",""
405,Sumerian,adjective,""of,""
406,pinyin,noun,"a system for romanizing Chinese ideograms in which tones are indicated by diacritics.",""
407,Taoism,noun,"a religion and philosophy of China traditionally founded by Laozi in the sixth century B.C.E.","Daoism"
408,lymphoma,noun,"an often malignant tumor of the tissue structures in a part of the body's circulatory system.",""
409,scandium,noun,"a white metallic element found especially in various minerals in certain northern European countries.",""
410,dendrochronology,noun,"the science of dating events and variations in environment in former periods by study of the rings of growth in trees and aged wood.",""
411,palomino,noun,"a slender-legged horse that is light tan or cream in color with white markings on the face and legs.","palamino"
412,retinitis pigmentosa,noun,"any of several hereditary progressive degenerative diseases of the eye marked by constriction of the visual field and eventual blindness.",""
413,fens,plural noun,"low peaty lands covered wholly or partly with water unless artificially drained.",""
414,haw,noun,"the fruit of any of several shrubs or trees of the genus Viburnum.",""
415,peplos,noun,"a garment worn by women of ancient Greece consisting of a rectangular cloth clasped usually with a brooch at the shoulder.","peplus"
416,moira,noun,"individual destiny : fate.",""
417,Erlenmeyer flask,noun,""a flat-bottomed conical vessel,""
418,Samian,adjective,"of or relating to a particular Greek island in the Aegean Sea.",""
419,luciferin,noun,"a pigment found in luminescent organisms such as fireflies.",""
420,megaron,noun,"the great central hall of an ancient Mycenaean house usually containing a center hearth.",""
421,sphagnum,noun,"a type of atypical moss that grows only in very wet acid areas where its accumulated remains become compacted with other plant debris to form peat.",""
422,pronaos,noun,"the outer part of an ancient Greek temple forming a portico in front of the hidden inner part that housed the image of the deity.",""
423,craquelure,noun,"a breaking on the surface (as of varnish,""
424,Macao,geographical entry,""a peninsula in the province of Guangdong,"Macau"
425,silicon,noun,"a nonmetallic element that occurs abundantly in the earth's crust and is used chiefly in the form of alloys.",""
426,Albuquerque,geographical entry,"a city in New Mexico.",""
427,Mumbai,geographical entry,"a city and port in western India.",""
428,turquoise,noun,""a mineral consisting of a blue,"turquois"
429,Assam,geographical entry,"state of northeastern India on the edge of the Himalayas.",""
430,lanthanides,plural noun,"chemical elements in a group of rare-earth metals.",""
431,antimony,noun,"a metalloid element that is commonly metallic silvery white,""
432,amphoras,plural noun,""ancient Greek jars or vases having large oval bodies,""
433,hypocaust,noun,"a central heating system of an ancient Roman building consisting of an underground furnace and a series of tile flues for distribution of the heat.",""
434,avens,plural noun,"plants of a genus of perennial herbs with pinnate or lyrate leaves and flowers with long plumose persistent styles.",""
435,grebe,noun,"any of various aquatic birds that are closely related to the loons and are very expert divers and able to swim long distances underwater.",""
436,pipette,noun,"a narrow glass tube into which liquid is drawn up by suction and in which it is retained by closing the upper end.","pipet"
437,leks,plural noun,"sites to which birds regularly resort for purposes of courtship.",""
438,pullets,plural noun,"hens of the common fowl less than a year old.",""
439,Macedonia,geographical entry,"a region of southern Europe in the Balkan Peninsula in northeastern Greece.",""
440,centrifuge,noun,"a machine for whirling fluids rapidly to separate substances of different densities.",""
441,coleus,noun,"any of several Old World herbs of the mint family that are widely cultivated for their fragrant,""
442,Tetrazzini,adjective,"prepared with pasta and a white sauce seasoned with sherry and served au gratin.",""
443,Pleiades,noun,"a cluster of stars in the constellation Taurus that includes six stars in the form of a very small dipper.",""
